Order Number,Supplier,Equipment Type,Order Date,Rental Start,Rental End,Estimated Total
7LTD926,"Sunstate Equipment - San Antonio TX","Electric Articulating Boom Lift, 45 ft",2025-11-19,2025-11-24,2025-11-27,950
UY8FP92,"Aerial Plus - Burlington ON","Articulating Boom Lift, 45 ft, Dual Fuel/Diesel",2025-11-19,2025-11-20,2025-11-21,236
DDF65P4,"Sunstate Equipment - Odessa TX","Custom/Other",2025-11-19,2025-11-19,2025-11-26,675
A4USLJH,"Tri Bridges Inc.","Tractor, 125 hp+",2025-11-19,2025-12-01,2026-04-13,24000
DWL2PQC,"Tejas Equipment Rental - San Antonio TX ","Articulating Boom Lift, 60 ft, Dual Fuel/Diesel",2025-11-19,2025-11-19,2025-11-26,1168
Y52FW9V,"The Rental Guys - Calgary AB","Articulating Boom Lift, 45 ft, Dual Fuel/Diesel",2025-11-19,2025-11-19,2025-11-20,525
32XPUST,"Sunstate Equipment - Dallas TX (Duncanville)","Custom/Other",2025-11-19,2025-11-20,2025-12-18,1420
C3RWPR8,"Bulldog Equipment Rental & Supply - Clearwater FL","Custom/Other",2025-11-19,2025-11-18,2025-11-19,370
B4AS2S2,"CONEQ Rentals - Woodbridge ON","Articulating Boom Lift, 34 ft, Dual Fuel/Diesel",2025-11-18,2025-11-19,2025-11-25,633.5
Z3RUHB9,"Sunstate Equipment - Roseville CA","Telehandler Reach Forklift 6000 lbs, 40 - 42 ft",2025-11-18,2025-11-19,2025-12-02,2000
CZAGTWT,"Best Rental Services Inc - Vaughan ON","Rough Terrain Scissor Lift, 26 ft",2025-11-18,2025-11-19,2025-12-16,1200
K778LKZ,"Need a Lift Rentals - Fort Lauderdale FL","Scissor Lift, Vertical Man Lift",2025-11-18,2025-11-20,2025-11-27,320
7AKKWKK,"Sunstate Equipment - Oakland CA","Custom/Other",2025-11-18,2025-11-24,2025-11-26,600
GAXJ7FE,"Pro Rentals & Sales - Moses Lake WA","Custom/Other",2025-11-18,2025-11-19,2025-11-26,2279
UDP9H8S,"Sunstate Equipment - San Antonio TX","Articulating Boom Lift, 45 ft, Dual Fuel/Diesel",2025-11-18,2025-11-19,2025-11-20,365
BHGA5HR,"Equipment Depot - Waco TX","Articulating Boom Lift, 60 ft, Dual Fuel/Diesel",2025-11-18,2025-11-19,2025-11-25,1250
Q5YGZDA,"Sunstate Equipment - Carrollton TX","Custom/Other",2025-11-18,2026-01-05,2026-01-06,1155
GKRWE4A,"Sunstate Equipment - Benicia CA","Electric Articulating Boom Lift, 45 ft",2025-11-18,2025-11-20,2025-11-21,355
WK8D5FD,"BAM Rents - Indianapolis IN","Electric Scissor Lift, 19 ft (Indoor Use Only)",2025-11-18,2025-11-19,2025-11-21,225
3THASCR,"Sunstate Equipment - Colorado Springs CO","Electric Articulating Boom Lift, 60 ft",2025-11-18,2025-11-19,2025-11-25,1400
ZZHTEH3,"J-AAR Excavating Limited","Custom/Other",2025-11-18,2025-11-20,2026-02-16,53000
8QF8QBJ,"Skyblack Rentals - Houston TX","Cushion Tire Forklift, 5000 lbs (Indoor Use Only)",2025-11-18,2025-11-24,2025-12-22,875
RQWDAW6,"Defatte Equipment Rentals - Ukiah CA","Custom/Other",2025-11-18,2025-11-18,2025-12-16,2000
CPYX4AU,"Defatte Equipment Rentals - Ukiah CA","Articulating Boom Lift, 60 ft, Dual Fuel/Diesel",2025-11-18,2025-11-18,2025-12-16,2720
KLV4CPY,"Lift X Rentals - Palmetto FL","Telehandler Reach Forklift, 6000 lbs, 32 - 39 ft",2025-11-18,2025-11-19,2025-11-26,880
W2CTE25,"The Equipment Source - Naples FL","Telehandler Reach Forklift, 8000 lbs, 41 - 43 ft",2025-11-18,2025-11-18,2025-12-16,2560
8Z4JQQY,"Sunstate Equipment - Colton CA","Custom/Other",2025-11-18,2025-11-18,2025-12-16,1200
YB9EKZD,"NAM Rentals - Toronto ON","Electric Scissor Lift, 40 ft (Indoor Use Only)",2025-11-17,2025-11-19,2025-11-20,280
3SRZTEB,"Sunstate Equipment - Lakewood WA","Electric Scissor Lift, 26 ft (Indoor Use Only)",2025-11-17,2025-11-24,2025-12-01,370
GFA2RBC,"Stoney Creek Equipment Rentals - Hamilton ON","Towable Boom Lift, 36 ft",2025-11-17,2025-11-18,2025-11-19,310
5JL6RFP,"Aerial Plus - Burlington ON","Articulating Boom Lift, 45 ft, Dual Fuel/Diesel",2025-11-17,2025-11-18,2025-11-24,716
53RX6W7,"Illinois Lift Equipment - Cary IL","Articulating Boom Lift, 45 ft, Dual Fuel/Diesel",2025-11-17,2025-12-03,2025-12-04,350.4
K9ASXCE,"Illinois Lift Equipment - Cary IL","Articulating Boom Lift, 45 ft, Dual Fuel/Diesel",2025-11-17,2025-12-03,2025-12-04,350.4
V6Q78U6,"Maynard Brubacher - Wallenstein ON","Tractor, 125 hp+",2025-11-17,2025-11-19,2026-04-08,24000
DXLFFC4,"Sunstate Equipment - Anaheim CA","Custom/Other",2025-11-17,2025-11-18,2025-11-21,585
F59SSYR,"MAK Equipment Las Vegas LLC","Custom/Other",2025-11-17,2025-11-17,2025-11-19,1380
U7FSRYG,"Leavitt Machinery - Brampton ON","Custom/Other",2025-11-17,2025-11-18,2025-11-19,452
56U6DDX,"Sunstate Equipment - Carrollton TX","Telehandler Reach Forklift 6000 lbs, 40 - 42 ft",2025-11-17,2025-11-17,2025-11-18,600
7ZC9EUP,"Tri-Lift Inc - Hamden CT","Cushion Tire Forklift, 5000 lbs (Indoor Use Only)",2025-11-17,2025-11-17,2025-11-18,430
E9R3YGT,"Darr Equipment Co. - Dallas, TX (HQ)","Electric Scissor Lift, 26 ft (Indoor Use Only)",2025-11-15,2025-11-18,2025-11-20,193.2
82635BX,"Aerial Plus - Burlington ON","Electric Scissor Lift, 19 ft (Indoor Use Only)",2025-11-14,2025-11-17,2025-11-24,241.5
YK4EYD9,"Skyblack Rentals - Houston TX","Straight Boom Lift, 60 ft, Dual Fuel/Diesel",2025-11-14,2025-11-18,2025-11-19,425
HGBHYHL,"Gerken Rent-All - Kansas City KS","Straight Boom Lift, 60 ft, Dual Fuel/Diesel",2025-11-14,2025-11-18,2025-11-24,1499
7WFETFY,"Sunstate Equipment - Fort Collins CO","Pneumatic Tire Forklift, 5000 lbs",2025-11-14,2025-11-17,2025-11-24,675
STJBEU2,"Rental Stop Ohio (Highlift Equipment) - Cincinnati OH","Telehandler Reach Forklift, 5000 lbs, 15 - 19 ft",2025-11-14,2025-11-18,2025-12-16,1900
KT9K5WE,"Sunstate Equipment - Jacksonville FL","Electric Scissor Lift, 26 ft (Indoor Use Only)",2025-11-14,2025-11-17,2025-12-15,650
XS23SRX,"Sunstate Equipment - Jacksonville FL","Electric Scissor Lift, 26 ft (Indoor Use Only)",2025-11-14,2025-11-17,2025-12-15,650
JGVKAJY,"Sunstate Equipment - Jacksonville FL","Telehandler Reach Forklift, 8000 lbs, 41 - 43 ft",2025-11-14,2025-11-17,2025-12-15,2500
XHUQK5R,"All Pro Lift and Equipment LLC - Phoenix AZ","Electric Scissor Lift, 19 ft (Indoor Use Only)",2025-11-14,2025-11-17,2025-11-18,75
7XLSLT6,"Sunstate Equipment - Colton CA","Custom/Other",2025-11-14,2025-11-17,2025-12-15,1600
AUF6HW6,"Need a Lift Rentals - Fort Lauderdale FL","Electric Scissor Lift, 19 ft (Indoor Use Only)",2025-11-14,2025-11-17,2025-11-24,250.4
ZYQ5VKD,"Sunstate Equipment - Tulsa OK","Cushion Tire Forklift, 5000 lbs (Indoor Use Only)",2025-11-14,2025-11-17,2025-12-14,1000
374HL8B,"Sunstate Equipment - Dallas TX (Duncanville)","Custom/Other",2025-11-14,2025-11-18,2025-11-25,370
BSRB5DJ,"Leavitt Machinery - Cambridge ON","Custom/Other",2025-11-14,2025-11-17,2025-11-18,525
LUU5H4Y,"Rental King LLC","Custom/Other",2025-11-14,2025-11-17,2025-11-18,400
H834BRY,"Rental Stop - Grande Prairie TX","Articulating Boom Lift, 45 ft, Dual Fuel/Diesel",2025-11-14,2025-11-15,2025-11-16,460.8
XQTTX83,"Sunstate Equipment - Prescott Valley AZ","Electric Scissor Lift, 19 ft (Indoor Use Only)",2025-11-14,2025-11-17,2025-11-23,245
RRCRC42,"Darr Equipment Co. - Oklahoma City, OK","Pneumatic Tire Forklift, 5000 lbs",2025-11-14,2025-11-17,2025-11-23,490.7
JTX77Z5,"CONEQ Rentals - Woodbridge ON","Telehandler Reach Forklift, 5000 lbs, 15 - 19 ft",2025-11-14,2025-11-17,2025-11-23,800
WQABE7P,"Sunstate Equipment - Balch Springs TX","Custom/Other",2025-11-14,2025-11-14,2025-11-21,105
DXUXWB2,"Sunstate Equipment - Balch Springs TX","Cushion Tire Forklift, 5000 lbs (Indoor Use Only)",2025-11-14,2025-11-14,2025-11-21,500
XJ565BG,"Sunstate Equipment - Las Vegas (Henderson) NV","Electric Scissor Lift, 20 ft (Indoor Use Only)",2025-11-13,2025-11-14,2025-11-28,390
EVA99GH,"Sun Coast Rentals - Carpinteria CA","Cushion Tire Forklift, 6000 lbs (Indoor Use Only)",2025-11-13,2025-11-14,2025-11-15,295
BJV2LKF,"Best Rental Services Inc - Vaughan ON","Soil Compaction Smooth Drum, 84 inches+",2025-11-13,2025-11-13,2025-11-15,818
JPWPS2C,"Rental Pro - Richmond KY","Custom/Other",2025-11-13,2025-11-14,2025-12-12,1800
WCKHSPT,"Duron Equipment (Bobcat of Winnipeg) - Winnipeg MB","Tracked Skid Steer, 3000 lbs",2025-11-13,2025-11-13,2025-11-15,990
BRY842J,"Empire Tool Rental - Pompano Beach FL","Electric Scissor Lift, 26 ft (Indoor Use Only)",2025-11-13,2025-11-14,2025-11-20,328.3
QDQWG97,"NAM Rentals - Toronto ON","Rough Terrain Scissor Lift, 40 ft",2025-11-13,2025-11-19,2025-11-20,190
T9DRF8H,"U-Rent It Sales & Service - Rockwall TX","Telehandler Reach Forklift, 8000 lbs, 41 - 43 ft",2025-11-13,2025-11-13,2025-11-14,350
EWBHER2,"Clairemont Equipment - Indio CA","Electric Scissor Lift, 26 ft (Indoor Use Only)",2025-11-12,2025-11-13,2025-11-20,477
UALQ6KZ,"J&J Equipment Rentals - Caledon East ON","Wheel Loader, 3 yds+",2025-11-12,2025-11-18,2026-04-07,31000
79F8HCJ,"Aerial Plus - Burlington ON","Telehandler Reach Forklift, 8000 lbs, 41 - 43 ft",2025-11-12,2025-11-19,2025-11-20,385
YF6EPGU,"LAX Equipment Inc - Inglewood CA","Telehandler Reach Forklift, 5000 lbs, 15 - 19 ft",2025-11-12,2025-11-13,2025-11-14,284.9
WESXJ8Q,"Leavitt Machinery - Brampton ON","Custom/Other",2025-11-12,2025-11-14,2025-11-16,420
PRKL5DC,"Rent City of Altus Inc - Atlus, OK","Pneumatic Tire Forklift, 5000 lbs",2025-11-12,2025-11-12,2025-11-13,285
J94VQSK,"Rent City of Altus Inc - Atlus, OK","Custom/Other",2025-11-12,2025-11-12,2025-11-13,50
GQT2ZLY,"Pioneer Equipment Company - Jacksonville FL","Excavator, 25 ton+",2025-11-12,2025-12-12,2025-12-18,2450.4
YB9S42F,"Carolina Industrial Trucks - Charlotte NC","Pneumatic Tire Forklift, 5000 lbs",2025-11-12,2025-11-12,2025-11-13,400
RPJUWA5,"AIS Construction Equipment Corp - New Hudson (West Detroit) MI","Straight Boom Lift, 80 ft, Dual Fuel/Diesel",2025-11-12,2025-11-12,2025-11-13,995
HE77H5J,"Best Rental Services Inc - Vaughan ON","Scissor Lift, Vertical Man Lift",2025-11-12,2025-11-12,2025-11-13,110
QKHY65K,"Need a Lift Rentals - Fort Lauderdale FL","Electric Scissor Lift, 26 ft (Indoor Use Only)",2025-11-12,2025-11-13,2025-11-19,375.2
K657JYW,"Need a Lift Rentals - Fort Lauderdale FL","Electric Scissor Lift, 26 ft (Indoor Use Only)",2025-11-12,2025-11-13,2025-11-19,375.2
